Audio File,Simon Segments,Chris Segments,Matched Segments,Simon Unique,Chris Unique,Agreement Ratio
call_20250312_001.wav,2,6,7,0,0,0.58
call_20250312_003.wav,18,131,236,2,13,0.1
call_20250317_005.wav,36,17,64,20,0,0.1
call_20250318_003.wav,54,54,300,6,0,0.1
call_20250325_002.wav,8,8,28,0,1,0.44
call_20250327_001.wav,26,16,77,1,3,0.19
call_20250327_003.wav,34,24,106,11,9,0.13
call_20250328_003.wav,72,161,712,0,37,0.06
call_20250409_002.wav,25,15,58,1,2,0.15
call_20250424_003.wav,12,67,99,0,33,0.12
call_20250429_005.wav,6,12,16,2,4,0.22
call_20250429_006.wav,16,30,79,0,10,0.16
call_20250429_007.wav,30,14,110,7,0,0.26
call_20250505_002.wav,9,6,17,2,3,0.31
